instant,season,workingday,weathersit,temp
1,1,0,2,0.344167
2,1,0,2,0.363478
3,1,1,1,0.196364
4,1,1,1,0.2
5,1,1,1,0.226957
6,1,1,1,0.204348
7,1,1,2,0.196522
8,1,0,2,165
9,1,0,1,0.138333
10,1,1,1,0.150833
11,1,1,2,0.169091
12,1,1,1,0.172727
13,1,1,1,165
14,1,1,1,0.16087
15,1,0,2,0.233333
16,1,0,1,0.231667
17,1,0,2,0.175833
18,1,1,2,0.216667
19,1,1,2,0.292174
20,1,1,2,0.261667
21,1,1,1,0.1775
22,1,0,1,0.0591304
23,1,0,1,0.0965217
24,1,1,1,0.0973913
25,1,1,2,0.223478
26,1,1,3,0.2175
27,1,1,1,195
28,1,1,2,0.203478
29,1,0,1,0.196522
30,1,0,1,0.216522
31,1,1,2,0.180833
32,1,1,2,0.192174
33,1,1,2,0.26
34,1,1,1,0.186957
35,1,1,2,0.211304
36,1,0,2,0.233333
37,1,0,1,0.285833
38,1,1,1,0.271667
39,1,1,1,0.220833
40,1,1,2,0.134783
41,1,1,1,0.144348
42,1,1,1,0.189091
43,1,0,1,0.2225
44,1,0,1,0.316522
45,1,1,1,415
46,1,1,1,0.266087
47,1,1,1,0.318261
48,1,1,1,0.435833
49,1,1,1,0.521667
50,1,0,1,0.399167
51,1,0,1,0.285217
52,1,0,2,0.303333
53,1,1,1,0.182222
54,1,1,1,0.221739
55,1,1,2,0.295652
56,1,1,2,0.364348
57,1,0,1,0.2825
58,1,0,1,0.343478
59,1,1,2,0.407273
60,1,1,1,0.266667
61,1,1,1,335
62,1,1,1,0.198333
63,1,1,2,0.261667
64,1,0,2,0.384167
65,1,0,2,0.376522
66,1,1,1,0.261739
67,1,1,1,0.2925
68,1,1,2,0.295833
69,1,1,3,0.389091
70,1,1,2,0.316522
71,1,0,1,0.329167
72,1,0,1,0.384348
73,1,1,1,0.325217
74,1,1,2,0.317391
75,1,1,2,0.365217
76,1,1,1,415
77,1,1,1,0.54
78,1,0,1,0.4725
79,1,0,1,0.3325
80,2,1,2,0.430435
81,2,1,1,0.441667
82,2,1,2,0.346957
83,2,1,2,285
84,2,1,1,0.264167
85,2,0,1,0.265833
86,2,0,2,0.253043
87,2,1,1,0.264348
88,2,1,1,0.3025
89,2,1,2,0.3
90,2,1,3,0.268333
91,2,1,2,0.3
92,2,0,2,315
93,2,0,1,0.378333
94,2,1,1,0.573333
95,2,1,2,0.414167
96,2,1,1,0.390833
97,2,1,1,0.4375
98,2,1,2,0.335833
99,2,0,2,0.3425
100,2,0,2,0.426667
101,2,1,2,0.595652
102,2,1,2,0.5025
103,2,1,2,0.4125
104,2,1,1,0.4675
105,2,0,1,0.446667
106,2,0,3,0.430833
107,2,0,1,0.456667
108,2,1,1,0.5125
109,2,1,2,0.505833
110,2,1,1,595
111,2,1,1,0.459167
112,2,1,2,0.336667
113,2,0,2,0.46
114,2,0,2,0.581667
115,2,1,1,0.606667
116,2,1,1,0.631667
117,2,1,2,0.62
118,2,1,2,0.6175
119,2,1,1,0.51
120,2,0,1,0.4725
121,2,0,2,0.451667
122,2,1,2,0.549167
123,2,1,2,0.616667
124,2,1,2,0.414167
125,2,1,1,0.459167
126,2,1,1,0.479167
127,2,0,1,0.52
128,2,0,1,0.528333
129,2,1,1,0.5325
130,2,1,1,0.5325
131,2,1,1,0.5425
132,2,1,1,535
133,2,1,2,0.5125
134,2,0,2,0.520833
135,2,0,2,0.5625
136,2,1,1,0.5775
137,2,1,2,0.561667
138,2,1,2,0.55
139,2,1,2,0.530833
140,2,1,1,0.536667
141,2,0,1,0.6025
142,2,0,1,0.604167
143,2,1,2,0.631667
144,2,1,2,0.66
145,2,1,1,0.660833
146,2,1,1,0.708333
147,2,1,1,0.681667
148,2,0,1,0.655833
149,2,0,1,0.6675
150,2,0,1,0.733333
151,2,1,1,775
152,2,1,2,0.764167
153,2,1,1,715
154,2,1,1,0.62
155,2,0,1,635
156,2,0,2,0.648333
157,2,1,1,0.678333
158,2,1,1,0.7075
159,2,1,1,0.775833
160,2,1,2,0.808333
161,2,1,1,755
162,2,0,1,725
163,2,0,1,0.6925
164,2,1,1,635
165,2,1,1,0.604167
166,2,1,1,0.626667
167,2,1,2,0.628333
168,2,1,1,0.649167
169,2,0,1,0.696667
170,2,0,2,0.699167
171,2,1,2,635
172,3,1,2,0.680833
173,3,1,1,0.733333
174,3,1,2,0.728333
175,3,1,1,0.724167
176,3,0,1,695
177,3,0,1,0.68
178,3,1,2,0.6825
179,3,1,1,0.744167
180,3,1,1,0.728333
181,3,1,1,0.696667
182,3,1,1,0.7225
183,3,0,1,0.738333
184,3,0,2,0.716667
185,3,0,2,0.726667
186,3,1,1,0.746667
187,3,1,1,0.72
188,3,1,1,0.75
189,3,1,2,0.709167
190,3,0,1,0.733333
191,3,0,1,0.7475
192,3,1,1,0.7625
193,3,1,1,0.794167
194,3,1,1,0.746667
195,3,1,1,0.680833
196,3,1,1,0.663333
197,3,0,1,0.686667
198,3,0,1,0.719167
199,3,1,1,0.746667
200,3,1,1,0.776667
201,3,1,1,0.768333
202,3,1,2,815
203,3,1,1,0.848333
204,3,0,1,0.849167
205,3,0,1,0.83
206,3,1,1,0.743333
207,3,1,1,0.771667
208,3,1,1,775
209,3,1,1,0.779167
210,3,1,1,0.838333
211,3,0,1,0.804167
212,3,0,1,0.805833
213,3,1,1,0.771667
214,3,1,1,0.783333
215,3,1,2,0.731667
216,3,1,2,0.71
217,3,1,1,0.710833
218,3,0,2,0.716667
219,3,0,1,0.7425
220,3,1,1,765
221,3,1,1,775
222,3,1,1,0.766667
223,3,1,1,0.7175
224,3,1,1,0.708333
225,3,0,2,0.685833
226,3,0,2,0.676667
227,3,1,1,0.665833
228,3,1,1,0.700833
229,3,1,1,0.723333
230,3,1,1,0.711667
231,3,1,2,685
232,3,0,1,0.6975
233,3,0,1,0.710833
234,3,1,1,0.691667
235,3,1,1,0.640833
236,3,1,1,0.673333
237,3,1,2,0.684167
238,3,1,1,0.7
239,3,0,2,0.68
240,3,0,1,0.707059
241,3,1,1,0.636667
242,3,1,1,0.639167
243,3,1,1,0.656667
244,3,1,1,655
245,3,1,2,0.643333
246,3,0,1,0.669167
247,3,0,1,0.709167
248,3,0,2,0.673333
249,3,1,3,0.54
250,3,1,3,0.599167
251,3,1,3,0.633913
252,3,1,2,0.65
253,3,0,1,0.66
254,3,0,1,0.653333
255,3,1,1,0.644348
256,3,1,1,0.650833
257,3,1,1,0.673333
258,3,1,2,0.5775
259,3,1,2,0.469167
260,3,0,2,0.491667
261,3,0,1,0.5075
262,3,1,2,0.549167
263,3,1,2,0.561667
264,3,1,2,595
265,3,1,2,0.628333
266,4,1,2,0.609167
267,4,0,2,0.606667
268,4,0,2,0.634167
269,4,1,2,0.649167
270,4,1,2,0.636667
271,4,1,2,635
272,4,1,1,0.616667
273,4,1,1,0.564167
274,4,0,2,0.41
275,4,0,2,0.356667
276,4,1,2,0.384167
277,4,1,1,0.484167
278,4,1,1,0.538333
279,4,1,1,0.494167
280,4,1,1,0.510833
281,4,0,1,0.521667
282,4,0,1,0.540833
283,4,0,1,0.570833
284,4,1,2,0.566667
285,4,1,3,0.543333
286,4,1,2,0.589167
287,4,1,2,0.550833
288,4,0,1,0.506667
289,4,0,1,0.511667
290,4,1,1,0.534167
291,4,1,2,0.5325
292,4,1,3,0.541739
293,4,1,1,0.475833
294,4,1,1,0.4275
295,4,0,1,0.4225
296,4,0,1,0.421667
297,4,1,1,0.463333
298,4,1,1,0.471667
299,4,1,2,0.484167
300,4,1,2,0.47
301,4,1,2,0.330833
302,4,0,3,0.254167
303,4,0,1,0.319167
304,4,1,1,0.34
305,4,1,1,0.400833
306,4,1,1,0.3775
307,4,1,1,0.408333
308,4,1,2,0.403333
309,4,0,1,0.326667
310,4,0,1,0.348333
311,4,1,1,395
312,4,1,1,0.408333
313,4,1,1,0.4
314,4,1,2,0.38
315,4,0,1,0.324167
316,4,0,1,0.356667
317,4,0,1,0.440833
318,4,1,1,0.53
319,4,1,2,0.53
320,4,1,3,0.456667
321,4,1,2,0.341667
322,4,1,1,0.274167
323,4,0,1,0.329167
324,4,0,2,0.463333
325,4,1,3,0.4475
326,4,1,3,0.416667
327,4,1,2,0.440833
328,4,0,1,0.373333
329,4,1,1,375
330,4,0,1,0.375833
331,4,0,1,0.459167
332,4,1,1,0.503478
333,4,1,2,0.458333
334,4,1,1,325
335,4,1,1,0.3125
336,4,1,1,0.314167
337,4,0,1,0.299167
338,4,0,1,0.330833
339,4,1,2,0.385833
340,4,1,3,0.4625
341,4,1,3,0.41
342,4,1,1,0.265833
343,4,1,1,0.290833
344,4,0,1,275
345,4,0,1,0.220833
346,4,1,1,0.238333
347,4,1,1,0.2825
348,4,1,2,0.3175
349,4,1,2,0.4225
350,4,1,2,375
351,4,0,2,0.258333
352,4,0,1,0.238333
353,4,1,1,0.276667
354,4,1,2,0.385833
355,1,1,2,0.428333
356,1,1,2,0.423333
357,1,1,1,0.373333
358,1,0,1,0.3025
359,1,0,1,0.274783
360,1,0,1,0.321739
361,1,1,2,325
362,1,1,1,0.29913
363,1,1,1,0.248333
364,1,1,1,0.311667
365,1,0,1,0.41
366,1,0,1,0.37
367,1,0,1,0.273043
368,1,1,1,0.15
369,1,1,2,0.1075
370,1,1,1,0.265833
371,1,1,1,0.334167
372,1,0,1,0.393333
373,1,0,1,0.3375
374,1,1,2,0.224167
375,1,1,1,0.308696
376,1,1,2,0.274167
377,1,1,2,0.3825
378,1,1,1,0.274167
379,1,0,1,0.18
380,1,0,1,0.166667
381,1,0,1,0.19
382,1,1,2,0.373043
383,1,1,1,0.303333
384,1,1,1,0.19
385,1,1,2,0.2175
386,1,0,2,0.173333
387,1,0,2,0.1625
388,1,1,2,0.218333
389,1,1,1,0.3425
390,1,1,1,0.294167
391,1,1,2,0.341667
392,1,1,2,425
393,1,0,1,0.315833
394,1,0,1,0.2825
395,1,1,1,0.269167
396,1,1,1,0.39
397,1,1,1,0.469167
398,1,1,2,0.399167
399,1,1,1,0.313333
400,1,0,2,0.264167
401,1,0,2,0.265833
402,1,1,1,0.282609
403,1,1,1,0.354167
404,1,1,2,0.256667
405,1,1,1,265
406,1,1,2,0.280833
407,1,0,3,0.224167
408,1,0,1,0.1275
409,1,1,1,0.2225
410,1,1,2,0.319167
411,1,1,1,0.348333
412,1,1,2,0.316667
413,1,1,1,0.343333
414,1,0,1,0.346667
415,1,0,2,0.28
416,1,0,1,0.28
417,1,1,1,0.287826
418,1,1,1,0.395833
419,1,1,1,0.454167
420,1,1,2,0.4075
421,1,0,1,0.290833
422,1,0,1,0.279167
423,1,1,1,0.366667
424,1,1,1,0.359167
425,1,1,2,0.344348
426,1,1,1,0.485833
427,1,1,2,0.353333
428,1,0,2,0.414167
429,1,0,1,0.325833
430,1,1,1,0.243333
431,1,1,1,0.258333
432,1,1,1,0.404167
433,1,1,1,0.5275
434,1,1,2,0.410833
435,1,0,1,0.2875
436,1,0,1,0.361739
437,1,1,1,0.466667
438,1,1,1,565
439,1,1,1,0.5725
440,1,1,1,0.5575
441,1,1,2,0.435833
442,1,0,2,0.514167
443,1,0,2,0.4725
444,1,1,1,545
445,1,1,1,0.560833
446,2,1,2,0.531667
447,2,1,1,0.554167
448,2,1,2,0.601667
449,2,0,2,0.5025
450,2,0,2,0.4375
451,2,1,1,0.445833
452,2,1,1,0.323333
453,2,1,1,0.484167
454,2,1,1,0.494167
455,2,1,2,0.37
456,2,0,2,0.424167
457,2,0,2,0.425833
458,2,1,1,0.433913
459,2,1,1,0.466667
460,2,1,1,0.541667
461,2,1,1,435
462,2,1,1,0.403333
463,2,0,1,0.4375
464,2,0,1,0.5
465,2,1,1,0.489167
466,2,1,1,0.446667
467,2,1,1,0.348696
468,2,1,1,0.3975
469,2,1,1,0.4425
470,2,0,1,495
471,2,0,1,0.606667
472,2,0,1,0.664167
473,2,1,1,0.608333
474,2,1,2,0.463333
475,2,1,1,0.498333
476,2,1,1,0.526667
477,2,0,1,0.57
478,2,0,3,0.396667
479,2,1,2,0.321667
480,2,1,1,0.413333
481,2,1,1,0.476667
482,2,1,2,0.498333
483,2,1,1,0.4575
484,2,0,2,0.376667
485,2,0,1,0.458333
486,2,1,2,0.464167
487,2,1,2,0.613333
488,2,1,1,0.564167
489,2,1,2,0.56
490,2,1,1,0.6275
491,2,0,2,0.621667
492,2,0,2,0.5625
493,2,1,2,0.5375
494,2,1,2,0.581667
495,2,1,2,575
496,2,1,1,0.505833
497,2,1,1,0.533333
498,2,0,1,0.564167
499,2,0,1,0.6125
500,2,1,2,0.573333
501,2,1,2,0.611667
502,2,1,1,0.636667
503,2,1,1,0.593333
504,2,1,1,0.564167
505,2,0,1,0.6
506,2,0,1,0.620833
507,2,1,2,0.598333
508,2,1,2,615
509,2,1,2,0.621667
510,2,1,1,655
511,2,1,1,0.68
512,2,0,1,0.6925
513,2,0,1,0.69
514,2,0,1,0.7125
515,2,1,1,0.7225
516,2,1,2,0.656667
517,2,1,1,0.68
518,2,1,2,0.654167
519,2,0,1,0.583333
520,2,0,1,0.6025
521,2,1,1,0.5975
522,2,1,2,0.540833
523,2,1,1,0.554167
524,2,1,1,0.6025
525,2,1,1,0.649167
526,2,0,1,0.710833
527,2,0,1,0.726667
528,2,1,2,0.720833
529,2,1,2,0.653333
530,2,1,1,0.655833
531,2,1,1,0.648333
532,2,1,1,0.639167
533,2,0,1,0.631667
534,2,0,1,0.5925
535,2,1,2,0.568333
536,2,1,1,0.688333
537,2,1,1,0.7825
538,3,1,1,0.805833
539,3,1,1,0.7775
540,3,0,1,0.731667
541,3,0,1,0.743333
542,3,1,1,0.715833
543,3,1,1,0.630833
544,3,1,1,0.6975
545,3,1,1,0.749167
546,3,1,1,0.834167
547,3,0,1,765
548,3,0,1,0.815833
549,3,1,1,0.781667
550,3,1,1,0.780833
551,3,0,1,0.789167
552,3,1,1,0.8275
553,3,1,1,0.828333
554,3,0,1,0.861667
555,3,0,1,0.8225
556,3,1,2,0.710833
557,3,1,2,0.720833
558,3,1,1,0.716667
559,3,1,1,0.715833
560,3,1,2,0.731667
561,3,0,2,0.703333
562,3,0,1,0.745833
563,3,1,1,0.763333
564,3,1,1,0.818333
565,3,1,1,0.793333
566,3,1,1,0.77
567,3,1,2,0.665833
568,3,0,3,0.595833
569,3,0,2,0.6675
570,3,1,1,0.741667
571,3,1,1,0.750833
572,3,1,1,0.724167
573,3,1,1,0.776667
574,3,1,1,0.781667
575,3,0,1,0.755833
576,3,0,1,0.721667
577,3,1,1,0.730833
578,3,1,1,0.713333
579,3,1,1,0.7175
580,3,1,1,0.7525
581,3,1,2,0.765833
582,3,0,1,0.793333
583,3,0,1,0.769167
584,3,1,2,0.7525
585,3,1,2,0.735833
586,3,1,2,0.75
587,3,1,1,0.755833
588,3,1,2,0.715833
589,3,0,2,0.6925
590,3,0,1,0.700833
591,3,1,1,0.720833
592,3,1,1,0.726667
593,3,1,1,0.706667
594,3,1,1,0.719167
595,3,1,1,0.723333
596,3,0,1,0.678333
597,3,0,2,0.635833
598,3,1,2,0.635833
599,3,1,1,0.649167
600,3,1,1,0.6675
601,3,1,1,0.695833
602,3,1,2,0.7025
603,3,0,2,0.661667
604,3,0,2,0.653333
605,3,1,1,0.703333
606,3,1,1,0.728333
607,3,1,1,685
608,3,1,1,0.706667
609,3,1,1,0.764167
610,3,0,2,0.753333
611,3,0,2,0.696667
612,3,0,1,0.7075
613,3,1,1,0.725833
614,3,1,1,0.736667
615,3,1,2,0.696667
616,3,1,1,0.703333
617,3,0,2,0.659167
618,3,0,1,0.61
619,3,1,1,0.583333
620,3,1,1,0.5775
621,3,1,1,0.599167
622,3,1,1,0.6125
623,3,1,1,0.633333
624,3,0,1,0.608333
625,3,0,1,0.58
626,3,1,2,0.580833
627,3,1,2,0.623333
628,3,1,1,0.5525
629,3,1,1,0.546667
630,3,1,1,0.599167
631,3,0,1,0.65
632,4,0,1,0.529167
633,4,1,1,0.514167
634,4,1,1,0.55
635,4,1,1,635
636,4,1,2,0.65
637,4,1,2,0.619167
638,4,0,1,0.5425
639,4,0,1,0.526667
640,4,1,2,0.520833
641,4,1,3,0.590833
642,4,1,2,0.6575
643,4,1,2,0.6575
644,4,1,1,615
645,4,0,1,0.554167
646,4,0,2,0.415833
647,4,0,2,0.383333
648,4,1,2,0.446667
649,4,1,1,0.514167
650,4,1,1,435
651,4,1,1,0.4375
652,4,0,1,0.393333
653,4,0,1,0.521667
654,4,1,2,0.561667
655,4,1,1,0.468333
656,4,1,1,0.455833
657,4,1,2,0.5225
658,4,1,2,0.563333
659,4,0,1,0.484167
660,4,0,1,0.464167
661,4,1,1,0.4875
662,4,1,1,0.544167
663,4,1,1,0.5875
664,4,1,2,0.55
665,4,1,2,0.545833
666,4,0,2,0.53
667,4,0,2,0.4775
668,4,1,3,0.44
669,4,1,2,0.318182
670,4,1,2,0.3575
671,4,1,2,0.365833
672,4,1,1,355
673,4,0,2,0.343333
674,4,0,1,0.325833
675,4,1,1,0.319167
676,4,1,1,0.280833
677,4,1,2,0.295833
678,4,1,1,0.352174
679,4,1,1,0.361667
680,4,0,1,0.389167
681,4,0,1,0.420833
682,4,0,1,485
683,4,1,2,0.343333
684,4,1,1,0.289167
685,4,1,2,0.321667
686,4,1,1,345
687,4,0,1,325
688,4,0,1,0.3425
689,4,1,2,0.380833
690,4,1,2,0.374167
691,4,1,1,0.353333
692,4,0,1,0.34
693,4,1,1,0.368333
694,4,0,1,0.278333
695,4,0,1,0.245833
696,4,1,1,0.313333
697,4,1,2,0.291667
698,4,1,1,0.296667
699,4,1,1,0.28087
700,4,1,1,0.298333
701,4,0,2,0.298333
702,4,0,2,0.3475
703,4,1,1,0.4525
704,4,1,1,0.475833
705,4,1,1,0.438333
706,4,1,1,0.255833
707,4,1,2,0.320833
708,4,0,2,0.381667
709,4,0,2,0.384167
710,4,1,2,0.435833
711,4,1,2,0.353333
712,4,1,2,0.2975
713,4,1,1,0.295833
714,4,1,1,0.281667
715,4,0,1,0.324167
716,4,0,2,0.3625
717,4,1,2,0.393333
718,4,1,1,0.410833
719,4,1,1,0.3325
720,4,1,2,0.33
721,1,1,2,0.326667
722,1,0,1,0.265833
723,1,0,1,0.245833
724,1,1,2,0.231304
725,1,0,2,0.291304
726,1,1,3,0.243333
727,1,1,2,0.254167
728,1,1,2,0.253333
729,1,0,2,0.253333
730,1,0,1,0.255833
731,1,1,2,0.215833